City,month,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Xylene_missing,year
Ahmedabad,1,77.7198969072165,113.56741935483872,28.59951219512195,67.71112903225807,50.715725806451616,,28.59951219512195,66.91661290322581,44.13715447154471,5.236645161290323,27.71567741935484,4.339838709677419,346.1720430107527,0.16666666666666666,2017.5
Ahmedabad,2,87.43183486238532,144.90793103448274,32.89752293577982,80.98844036697247,63.28036697247707,,32.89752293577982,72.03509259259259,46.12814814814815,3.7628467153284673,25.496350364963504,4.003882352941177,447.8941176470588,0.19411764705882353,2017.5058823529412
Ahmedabad,3,79.91113821138211,108.04935483870968,21.022845528455285,63.08943089430894,46.234552845528455,,21.022845528455285,60.44845528455284,46.16008474576272,6.564166666666667,31.37013888888889,4.054139784946237,380.1290322580645,0.22580645161290322,2017.5
Ahmedabad,4,77.51686440677966,81.426,15.10822033898305,43.613644067796606,35.3593220338983,,14.546694915254237,40.593474576271184,41.00957264957265,4.7995762711864405,24.28737288135593,3.4743333333333335,295.30555555555554,0.34444444444444444,2017.5
Ahmedabad,5,51.90413223140496,98.69979591836734,10.279416666666666,36.08358333333333,27.259838709677418,,9.545,64.85094736842106,40.12815789473684,6.4612096774193555,29.923145161290325,3.2641397849462366,216.39247311827958,0.3333333333333333,2017.5
Ahmedabad,6,44.581707317073175,120.53999999999999,15.855645161290324,54.72959677419355,43.12104838709678,,14.485241935483872,32.719349593495934,34.95964285714286,6.493333333333333,46.74048780487805,3.142,230.27777777777777,0.32222222222222224,2017.5
Ahmedabad,7,48.06637096774193,117.01413793103448,20.68935483870968,50.37016129032258,46.08056451612903,,20.655967741935484,30.04225806451613,19.331844660194175,3.8788709677419355,31.891774193548386,0.9842307692307691,301.44871794871796,0.20512820512820512,2017.0192307692307
Ahmedabad,8,43.70024390243903,137.3009677419355,22.106747967479677,34.107723577235774,41.95528455284553,,22.106747967479677,37.134878048780486,24.47434782608696,3.300082644628099,16.751322314049585,0.9641290322580645,326.3032258064516,0.21935483870967742,2017.0
Ahmedabad,9,37.74026315789474,86.39777777777778,19.71217391304348,48.910347826086955,45.59121739130435,,19.71217391304348,39.718347826086955,29.750531914893617,1.870940170940171,13.058034188034188,0.8394666666666667,304.49333333333334,0.22,2017.0
Ahmedabad,10,96.93233576642335,146.73225806451612,28.594651162790697,72.98852713178294,61.13810218978102,,28.594651162790697,65.20653543307087,46.52711111111111,5.531021897810219,20.71788321167883,4.619161290322581,462.01935483870966,0.11612903225806452,2017.0
Ahmedabad,11,99.54232323232324,111.90033333333334,36.14151515151515,100.28555555555556,71.17029702970297,,36.14151515151515,98.32072916666668,45.796451612903226,10.181811023622046,31.481889763779527,7.092933333333334,488.23333333333335,0.15333333333333332,2017.0
Ahmedabad,12,76.62344086021506,109.82806451612903,20.52924731182796,64.92752688172044,38.38462365591398,,20.52924731182796,70.68752688172043,49.49391304347826,6.795858585858586,33.884040404040405,4.543354838709678,313.3483870967742,0.36129032258064514,2017.0
Aizawl,3,38.94380952380953,47.474761904761905,4.083809523809524,0.8204761904761905,5.777142857142857,25.715714285714284,0.4585714285714285,5.827142857142857,6.075238095238095,6.127142857142856,6.561904761904763,0.9799999999999999,67.85714285714286,1.0,2020.0
Aizawl,4,20.974666666666668,27.434666666666665,8.028,0.29,10.735000000000001,21.877666666666666,0.29333333333333333,6.852666666666666,5.241428571428571,5.7636666666666665,6.161333333333333,0.98,39.233333333333334,1.0,2020.0
Aizawl,5,11.48967741935484,16.229032258064517,11.72967741935484,0.35612903225806447,15.791290322580647,19.585483870967742,0.27516129032258063,9.341935483870968,1.6603333333333334,10.134482758620688,10.74655172413793,0.98,24.193548387096776,1.0,2020.0
Aizawl,6,3.3464285714285715,9.897241379310344,12.048333333333334,0.22866666666666668,15.898666666666665,23.266333333333332,0.169,7.136666666666667,2.419166666666667,20.323888888888888,20.55277777777778,0.98,24.1,1.0,2020.0
Aizawl,7,4.49,5.39,11.44,0.07,15.11,19.41,0.02,2.07,3.39,,,0.98,20.0,1.0,2020.0
Amaravati,1,72.91182795698924,121.2862365591398,5.891182795698925,43.35387096774193,27.853440860215052,18.113655913978494,0.5551612903225807,17.52258064516129,45.4963440860215,0.2779569892473118,2.690215053763441,0.1596774193548387,159.69892473118279,0.053763440860215055,2019.0
Amaravati,2,44.60070588235294,90.88282352941177,5.7829411764705885,22.833764705882356,16.82164705882353,15.656823529411763,0.6462650602409639,14.145176470588234,35.18858823529412,0.18870588235294117,1.498,0.25070588235294117,95.85882352941177,0.1411764705882353,2019.0117647058823
